salience_s,potential_V,cognitive_mass,certainty_order
-7.878787878787878451e-01,3.595707471239653064e-01,7.117600631613707485e-01,-7.878787878787878451e-01
-7.474747474747474030e-01,4.868234097703574292e-01,6.759991113085503933e-01,-7.474747474747474030e-01
-7.070707070707069608e-01,6.251275445127036923e-01,6.402805540058010836e-01,-7.070707070707069608e-01
-6.666666666666665186e-01,7.716049382716055893e-01,6.046119049072350426e-01,-6.666666666666665186e-01
-6.262626262626260765e-01,9.235372786942979140e-01,5.690025497681793221e-01,-6.262626262626260765e-01
-5.858585858585856343e-01,1.078366154154649204e+00,5.334643625392210264e-01,-5.858585858585856343e-01
-5.454545454545454142e-01,1.233693053753159408e+00,4.980125790837213740e-01,-5.454545454545454142e-01
-5.050505050505049720e-01,1.387279367316964329e+00,4.626670618505451249e-01,-5.050505050505049720e-01
-4.646464646464645298e-01,1.537046385399831516e+00,4.274541726159268862e-01,-4.646464646464645298e-01
-4.242424242424240877e-01,1.681075299282161817e+00,3.924096171370818342e-01,-4.242424242424240877e-01
-3.838383838383836455e-01,1.817607200970989600e+00,3.575828909863136285e-01,-3.838383838383836455e-01
-3.434343434343432033e-01,1.945043083199982092e+00,3.230444529784449736e-01,-3.434343434343432033e-01
-3.030303030303029832e-01,2.061943839429439151e+00,2.888977183082445110e-01,-3.030303030303029832e-01
-2.626262626262625410e-01,2.167030263846297267e+00,2.552999080627152972e-01,-2.626262626262625410e-01
-2.222222222222220989e-01,2.259183051364121564e+00,2.224998266055641938e-01,-2.222222222222220989e-01
-1.818181818181816567e-01,2.337442797623113577e+00,1.909090909090907784e-01,-1.818181818181816567e-01
-1.414141414141412145e-01,2.401009998990106364e+00,1.612400927608235446e-01,-1.414141414141412145e-01
-1.010101010101007724e-01,2.449245052558567615e+00,1.347680689364383899e-01,-1.010101010101007724e-01
-6.060606060606055223e-02,2.481668256148596985e+00,1.137474204795361071e-01,-6.060606060606055223e-02
-2.020202020202011006e-02,2.497959808306928320e+00,1.016193746103284390e-01,-2.020202020202011006e-02
2.020202020202033211e-02,2.497959808306928320e+00,1.016193746103284806e-01,-2.020202020202033211e-02
6.060606060606099632e-02,2.481668256148596541e+00,1.137474204795363014e-01,-6.060606060606099632e-02
1.010101010101012164e-01,2.449245052558566726e+00,1.347680689364386675e-01,-1.010101010101012164e-01
1.414141414141414366e-01,2.401009998990106364e+00,1.612400927608237111e-01,-1.414141414141414366e-01
1.818181818181821008e-01,2.337442797623112689e+00,1.909090909090911392e-01,-1.818181818181821008e-01
2.222222222222223209e-01,2.259183051364121564e+00,2.224998266055643881e-01,-2.222222222222223209e-01
2.626262626262629851e-01,2.167030263846295934e+00,2.552999080627156858e-01,-2.626262626262629851e-01
3.030303030303032052e-01,2.061943839429439151e+00,2.888977183082446776e-01,-3.030303030303032052e-01
3.434343434343434254e-01,1.945043083199980982e+00,3.230444529784451402e-01,-3.434343434343434254e-01
3.838383838383840896e-01,1.817607200970987824e+00,3.575828909863140170e-01,-3.838383838383840896e-01
4.242424242424243097e-01,1.681075299282160929e+00,3.924096171370820563e-01,-4.242424242424243097e-01
